Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,4.49,Henry Holt & Company,Hardcover,465,2015,2015,,2018/12/25,to-read,to-read (#213),to-read,,,,0,0
25475315,মন্টেজুমার মেয়ে,H. Rider Haggard,"Haggard, H. Rider",Qazi Anwar Hussain,"=""9841631849""","=""""",0,4.11,সেবা প্রকাশনী,Paperback,380,2005,1893,,2016/04/21,to-read,to-read (#51),to-read,,,,0,0
11297969,রানি শেবার আংটি,H. Rider Haggard,"Haggard, H. Rider",Sayem Solaiman,"=""9841632241""","=""""",3,3.78,সেবা প্রকাশনী,Paperback,455,2010,1910,2016/07/12,2016/05/28,,,read,,,,1,0
6424171,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,"=""0345370775""","=""9780345370778""",5,4.07,Ballantine Books,Mass Market Paperback,416,1991,1990,,2016/04/01,,,read,,,,1,0
1645041,The Call of the Wild,Mitsu Yamamoto,"Yamamoto, Mitsu","Jack London, Pablo Marcos","=""086611954X""","=""9780866119542""",4,4.01,Playmore Publishers/Baronet Books,Hardcover,239,1989,1979,,2016/04/06,,,read,,,,1,0
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",0,3.69,Crown,Hardcover,305,2017,2017,,2018/10/17,to-read,to-read (#212),to-read,,,,0,0
25093831,ঝামেলা,Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,3.84,সেবা প্রকাশনী,Paperback,159,,,2018/09/01,2018/10/17,,,read,,,,1,0
25094033,"দক্ষিন যাত্রা (তিন গোয়েন্দা, #১২৬)",Rakib Hassan,"Hassan, Rakib",,"=""9841613840""","=""""",0,3.91,সেবা প্রকাশনী,Paperback,145,1999,,2018/09/01,2018/10/17,,,read,,,,1,0
28259921,"সোনার খোঁজে (তিন গোয়েন্দা, #১১১)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,3.70,সেবা প্রকাশনী,Paperback,,,,2018/09/01,2018/10/17,,,read,,,,1,0
22069321,"আলোর সঙ্কেত (তিন গোয়েন্দা, #৭৮)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,3.72,Sheba Prokashoni,Paperback,,,,2018/09/01,2018/10/17,,,read,,,,1,0
22069319,"অভিনয় (তিন গোয়েন্দা, #৭৭)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,3.56,Sheba Prokashoni,Paperback,,,,2018/09/01,2018/10/17,,,read,,,,1,0
22069309,"চিতা নিরুদ্দেশ (তিন গোয়েন্দা, #৭৬)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,3.71,সেবা প্রকাশনী,Paperback,,,,2018/09/01,2018/10/17,,,read,,,,1,0
34145958,মেঘ বিষাদের গল্প,Shariful  Hasan,"Hasan, Shariful",,"=""""","=""""",3,3.95,বাতিঘর প্রকাশনী ,Hardcover,192,2017,,2018/10/16,2018/10/17,,,read,,,,1,0
18080463,"তিন গোয়েন্দা ভলিউম ৩৬ (তিন গোয়েন্দা, #১২৬,১২৭, তিন বন্ধু, #১৭)",Rakib Hassan,"Hassan, Rakib",,"=""9841614022""","=""""",0,4.08,সেবা প্রকাশনী,Paperback,224,2000,2000,,2018/10/17,,,read,,,,1,0
18073126,"তিন গোয়েন্দা ভলিউম ২৬ (তিন গোয়েন্দা, #৮১,১০৬,১১১)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,4.15,সেবা প্রকাশনী,Paperback,240,1998,1998,,2018/10/17,,,read,,,,1,0
18073113,"তিন গোয়েন্দা ভলিউম ২২ (তিন গোয়েন্দা, #৭৬,৭৭,৭৮)",Rakib Hassan,"Hassan, Rakib",,"=""9841612887""","=""""",0,4.03,সেবা প্রকাশনী,Paperback,216,1994,1994,,2018/10/17,,,read,,,,1,0
18336792,নিঃসঙ্গতার একশ বছর,Gabriel García Márquez,"Márquez, Gabriel García",G.H. Habib,"=""""","=""9789848865019""",0,4.10,নান্দনিক ,Hardcover,330,2010,1967,,2018/07/27,to-read,to-read (#211),to-read,,,,0,0
25119838,"চার মূর্তির অভিযান (টেনিদা, #2)",Narayan Gangopadhyay,"Gangopadhyay, Narayan",নারায়ণ গঙ্গোপাধ্যায়,"=""""","=""""",0,4.45,,Hardcover,62,1960,1960,,2017/07/09,to-read,to-read (#191),to-read,,,,0,0
38319091,সিসিফাসে বন্দি,Tania Sultana,"Sultana, Tania",,"=""""","=""""",0,3.44,বাতিঘর প্রকাশনী,Hardcover,160,2018,,,2018/07/02,,,read,,,,1,1
36409531,সপ্তরিপু,রবিন জামান খান,"খান, রবিন জামান",,"=""""","=""""",4,4.25,বাতিঘর প্রকাশনী ,Hardcover,432,2018,2018,,2018/05/24,,,read,,,,1,1
38324069,ত্রাতিনা,Muhammed Zafar Iqbal,"Iqbal, Muhammed Zafar",,"=""9849323213""","=""9789849323211""",3,3.23,সময় প্রকাশন ,Hardcover,136,2018,2018,,2018/07/02,,,read,,,,1,0
20958120,থ্রী কমরেডস,Erich Maria Remarque,"Remarque, Erich Maria",Masud Mahmud,"=""984163094X""","=""9789841630942""",0,4.49,সেবা প্রকাশনী,Paperback,256,1988,1936,,2018/07/02,to-read,to-read (#210),to-read,,,,0,0
33930044,"ব্লাডলাইন (Sigma Force, #8)",James Rollins,"Rollins, James","Md. Fuad Al Fidah, Afranul Islam Sewam","=""""","=""""",4,4.24,আদী প্রকাশন,Hardcover,,2017,2012,,2018/06/22,,,read,,,,1,0
40445,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,"Morgan, Richard K.",,"=""0345457692""","=""9780345457691""",0,4.04,Del Rey / Ballantine Books,Mass Market Paperback,526,2006,2002,,2018/06/02,to-read,to-read (#209),to-read,,,,0,0
39337278,"Fantastic Beasts - The Crimes of Grindelwald: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #2)",J.K. Rowling,"Rowling, J.K.",,"=""1408711702""","=""9781408711705""",0,4.06,"Little, Brown",Hardcover,287,2018,2018,,2018/05/31,to-read,to-read (#208),to-read,,,,0,0
19491488,চক্ষে আমার তৃষ্ণা,Humayun Ahmed,"Ahmed, Humayun",,"=""9847010507""","=""9847015200756""",3,3.49,অনুপম প্রকাশনী,Hardcover,95,2009,2009,2018/05/29,2018/05/27,,,read,,,,1,0
18108031,জল জোছনা,Humayun Ahmed,"Ahmed, Humayun",,"=""9844950074""","=""""",4,3.41,Pearl Publications,Hardcover,78,1993,1993,,2018/05/27,,,read,,,,1,0
39933489,যকৃৎ,Syed Aunirbaan,"Aunirbaan, Syed",,"=""""","=""9879843437624""",0,3.26,বহুমাত্রিক প্রকাশনা,Hardcover,176,2018,,,2018/05/24,to-read,to-read (#207),to-read,,,,0,0
17671768,এবারো বারো,Satyajit Ray,"Ray, Satyajit",,"=""8170668638""","=""""",3,4.25,আনন্দ পাবলিশার্স প্রাইভেট লিমিটেড,Hardcover,136,1984,1983,,2017/04/26,,,read,,,,1,0
